part_size,part_size_formatted,chunk_size,chunk_size_formatted,run,seconds,gbps
1048576,1MB,65536,64KB,1,4.150349,10.348449
1048576,1MB,65536,64KB,2,3.766994,11.401577
1048576,1MB,65536,64KB,3,4.132620,10.392843
1048576,1MB,65536,64KB,4,4.288462,10.015170
1048576,1MB,65536,64KB,5,4.385340,9.793921
1048576,1MB,65536,64KB,6,1.773126,24.222574
1048576,1MB,65536,64KB,7,4.004786,10.724587
1048576,1MB,65536,64KB,8,4.060586,10.577212
1048576,1MB,65536,64KB,9,4.136770,10.382416
1048576,1MB,65536,64KB,10,3.785304,11.346428
1048576,1MB,131072,128KB,1,4.833377,8.886060
1048576,1MB,131072,128KB,2,3.257403,13.185252
1048576,1MB,131072,128KB,3,3.317549,12.946206
1048576,1MB,131072,128KB,4,3.157675,13.601675
1048576,1MB,131072,128KB,5,3.115144,13.787378
1048576,1MB,131072,128KB,6,2.553016,16.823114
1048576,1MB,131072,128KB,7,2.691183,15.959402
1048576,1MB,131072,128KB,8,1.643915,26.126456
1048576,1MB,131072,128KB,9,1.650813,26.017287
1048576,1MB,131072,128KB,10,1.637024,26.236439
1048576,1MB,196608,192KB,1,3.418159,12.565146
1048576,1MB,196608,192KB,2,2.416904,17.770534
1048576,1MB,196608,192KB,3,3.102894,13.841810
1048576,1MB,196608,192KB,4,2.656823,16.165800
1048576,1MB,196608,192KB,5,2.857590,15.030034
1048576,1MB,196608,192KB,6,3.170280,13.547594
1048576,1MB,196608,192KB,7,1.749772,24.545867
1048576,1MB,196608,192KB,8,2.272325,18.901202
1048576,1MB,196608,192KB,9,3.082331,13.934154
1048576,1MB,196608,192KB,10,3.136806,13.692168
1048576,1MB,262144,256KB,1,3.180240,13.505168
1048576,1MB,262144,256KB,2,2.573633,16.688345
1048576,1MB,262144,256KB,3,2.059190,20.857556
1048576,1MB,262144,256KB,4,3.062541,14.024195
1048576,1MB,262144,256KB,5,1.787062,24.033673
1048576,1MB,262144,256KB,6,1.954698,21.972533
1048576,1MB,262144,256KB,7,2.903563,14.792056
1048576,1MB,262144,256KB,8,1.647968,26.062198
1048576,1MB,262144,256KB,9,2.996576,14.332916
1048576,1MB,262144,256KB,10,2.977610,14.424209
1048576,1MB,524288,512KB,1,3.244353,13.238285
1048576,1MB,524288,512KB,2,2.502965,17.159515
1048576,1MB,524288,512KB,3,3.220747,13.335316
1048576,1MB,524288,512KB,4,1.662235,25.838504
1048576,1MB,524288,512KB,5,2.381513,18.034617
1048576,1MB,524288,512KB,6,1.666569,25.771314
1048576,1MB,524288,512KB,7,2.970378,14.459331
1048576,1MB,524288,512KB,8,1.661175,25.854993
1048576,1MB,524288,512KB,9,2.769537,15.507889
1048576,1MB,524288,512KB,10,3.011394,14.262391
1048576,1MB,1048576,1MB,1,3.811260,11.269152
1048576,1MB,1048576,1MB,2,3.348029,12.828347
1048576,1MB,1048576,1MB,3,3.036870,14.142745
1048576,1MB,1048576,1MB,4,3.048698,14.087876
1048576,1MB,1048576,1MB,5,2.846983,15.086030
1048576,1MB,1048576,1MB,6,3.098159,13.862964
1048576,1MB,1048576,1MB,7,3.211759,13.372634
1048576,1MB,1048576,1MB,8,3.192646,13.452690
1048576,1MB,1048576,1MB,9,2.869814,14.966012
1048576,1MB,1048576,1MB,10,3.170648,13.546023
2097152,2MB,65536,64KB,1,3.232188,13.288112
2097152,2MB,65536,64KB,2,1.587762,27.050443
2097152,2MB,65536,64KB,3,3.715509,11.559568
2097152,2MB,65536,64KB,4,4.116653,10.433153
2097152,2MB,65536,64KB,5,4.778315,8.988455
2097152,2MB,65536,64KB,6,3.602625,11.921772
2097152,2MB,65536,64KB,7,3.997870,10.743139
2097152,2MB,65536,64KB,8,3.614695,11.881963
2097152,2MB,65536,64KB,9,3.322179,12.928163
2097152,2MB,65536,64KB,10,3.900798,11.010483
2097152,2MB,131072,128KB,1,4.574380,9.389179
2097152,2MB,131072,128KB,2,0.961512,44.668875
2097152,2MB,131072,128KB,3,2.260182,19.002753
2097152,2MB,131072,128KB,4,2.451779,17.517762
2097152,2MB,131072,128KB,5,2.548702,16.851587
2097152,2MB,131072,128KB,6,3.358180,12.789568
2097152,2MB,131072,128KB,7,2.612880,16.437673
2097152,2MB,131072,128KB,8,2.525380,17.007214
2097152,2MB,131072,128KB,9,2.723806,15.768260
2097152,2MB,131072,128KB,10,2.428363,17.686679
2097152,2MB,196608,192KB,1,4.109915,10.450258
2097152,2MB,196608,192KB,2,3.292921,13.043034
2097152,2MB,196608,192KB,3,2.367161,18.143959
2097152,2MB,196608,192KB,4,2.535506,16.939292
2097152,2MB,196608,192KB,5,2.594136,16.556445
2097152,2MB,196608,192KB,6,3.525840,12.181401
2097152,2MB,196608,192KB,7,2.869909,14.965518
2097152,2MB,196608,192KB,8,2.467242,17.407972
2097152,2MB,196608,192KB,9,2.548059,16.855838
2097152,2MB,196608,192KB,10,2.541605,16.898641
2097152,2MB,262144,256KB,1,3.204904,13.401237
2097152,2MB,262144,256KB,2,2.276854,18.863602
2097152,2MB,262144,256KB,3,2.018899,21.273811
2097152,2MB,262144,256KB,4,2.460001,17.459208
2097152,2MB,262144,256KB,5,2.818456,15.238723
2097152,2MB,262144,256KB,6,2.708483,15.857462
2097152,2MB,262144,256KB,7,2.480228,17.316826
2097152,2MB,262144,256KB,8,2.608074,16.467965
2097152,2MB,262144,256KB,9,2.694505,15.939727
2097152,2MB,262144,256KB,10,2.571912,16.699509
2097152,2MB,524288,512KB,1,3.169999,13.548796
2097152,2MB,524288,512KB,2,2.312500,18.572829
2097152,2MB,524288,512KB,3,2.386089,18.000033
2097152,2MB,524288,512KB,4,2.453288,17.506981
2097152,2MB,524288,512KB,5,2.507812,17.126351
2097152,2MB,524288,512KB,6,2.551340,16.834164
2097152,2MB,524288,512KB,7,2.515429,17.074493
2097152,2MB,524288,512KB,8,2.512807,17.092306
2097152,2MB,524288,512KB,9,2.523529,17.019685
2097152,2MB,524288,512KB,10,2.510034,17.111194
2097152,2MB,1048576,1MB,1,2.451104,17.522583
2097152,2MB,1048576,1MB,2,1.427853,30.079905
2097152,2MB,1048576,1MB,3,2.488902,17.256474
2097152,2MB,1048576,1MB,4,2.465199,17.422398
2097152,2MB,1048576,1MB,5,2.446987,17.552067
2097152,2MB,1048576,1MB,6,2.450982,17.523454
2097152,2MB,1048576,1MB,7,2.449826,17.531724
2097152,2MB,1048576,1MB,8,2.611919,16.443721
2097152,2MB,1048576,1MB,9,2.361281,18.189144
2097152,2MB,1048576,1MB,10,2.411310,17.811761
4194304,4MB,65536,64KB,1,3.386281,12.683434
4194304,4MB,65536,64KB,2,4.534825,9.471076
4194304,4MB,65536,64KB,3,5.841293,7.352769
4194304,4MB,65536,64KB,4,4.132379,10.393449
4194304,4MB,65536,64KB,5,7.141100,6.014434
4194304,4MB,65536,64KB,6,4.509008,9.525305
4194304,4MB,65536,64KB,7,4.648575,9.239321
4194304,4MB,65536,64KB,8,4.279341,10.036516
4194304,4MB,65536,64KB,9,4.031451,10.653652
4194304,4MB,65536,64KB,10,4.561922,9.414819
4194304,4MB,131072,128KB,1,5.994285,7.165103
4194304,4MB,131072,128KB,2,23.912641,1.796107
4194304,4MB,131072,128KB,3,2.452671,17.511390
4194304,4MB,131072,128KB,4,6.406459,6.704121
4194304,4MB,131072,128KB,5,2.382274,18.028857
4194304,4MB,131072,128KB,6,2.280459,18.833783
4194304,4MB,131072,128KB,7,2.030337,21.153965
4194304,4MB,131072,128KB,8,2.125139,20.210287
4194304,4MB,131072,128KB,9,10.188320,4.215579
4194304,4MB,131072,128KB,10,4.502872,9.538285
4194304,4MB,196608,192KB,1,8.466391,5.072961
4194304,4MB,196608,192KB,2,9.785880,4.388943
4194304,4MB,196608,192KB,3,4.081695,10.522510
4194304,4MB,196608,192KB,4,2.212819,19.409484
4194304,4MB,196608,192KB,5,1.983270,21.655991
4194304,4MB,196608,192KB,6,5.948723,7.219982
4194304,4MB,196608,192KB,7,1.986843,21.617047
4194304,4MB,196608,192KB,8,2.046311,20.988829
4194304,4MB,196608,192KB,9,16.306667,2.633872
4194304,4MB,196608,192KB,10,2.100393,20.448401
4194304,4MB,262144,256KB,1,9.473943,4.533453
4194304,4MB,262144,256KB,2,11.341786,3.786853
4194304,4MB,262144,256KB,3,7.080440,6.065961
4194304,4MB,262144,256KB,4,2.193300,19.582214
4194304,4MB,262144,256KB,5,2.023673,21.223619
4194304,4MB,262144,256KB,6,3.082335,13.934137
4194304,4MB,262144,256KB,7,2.048755,20.963791
4194304,4MB,262144,256KB,8,2.515629,17.073136
4194304,4MB,262144,256KB,9,2.006084,21.409712
4194304,4MB,262144,256KB,10,0.760881,56.447286
4194304,4MB,524288,512KB,1,2.995015,14.340388
4194304,4MB,524288,512KB,2,2.010581,21.361825
4194304,4MB,524288,512KB,3,2.177026,19.728595
4194304,4MB,524288,512KB,4,1.979893,21.692921
4194304,4MB,524288,512KB,5,0.887687,48.383803
4194304,4MB,524288,512KB,6,2.525608,17.005675
4194304,4MB,524288,512KB,7,2.215739,19.383909
4194304,4MB,524288,512KB,8,2.251356,19.077243
4194304,4MB,524288,512KB,9,1.982187,21.667820
4194304,4MB,524288,512KB,10,1.944324,22.089770
4194304,4MB,1048576,1MB,1,1.551506,27.682575
4194304,4MB,1048576,1MB,2,2.195222,19.565067
4194304,4MB,1048576,1MB,3,0.790395,54.339512
4194304,4MB,1048576,1MB,4,1.953732,21.983403
4194304,4MB,1048576,1MB,5,2.081095,20.638020
4194304,4MB,1048576,1MB,6,0.984025,43.646933
4194304,4MB,1048576,1MB,7,1.951018,22.013975
4194304,4MB,1048576,1MB,8,2.307298,18.614708
4194304,4MB,1048576,1MB,9,2.088139,20.568397
4194304,4MB,1048576,1MB,10,1.953689,21.983889
4194304,4MB,4194304,4MB,1,2.324474,18.477155
4194304,4MB,4194304,4MB,2,1.211743,35.444534
4194304,4MB,4194304,4MB,3,0.911572,47.116041
4194304,4MB,4194304,4MB,4,1.981424,21.676159
4194304,4MB,4194304,4MB,5,2.263068,18.978514
4194304,4MB,4194304,4MB,6,1.800129,23.859218
4194304,4MB,4194304,4MB,7,2.261103,18.995010
4194304,4MB,4194304,4MB,8,2.189300,19.617990
4194304,4MB,4194304,4MB,9,1.969363,21.808915
4194304,4MB,4194304,4MB,10,1.964067,21.867727
8388608,8MB,65536,64KB,1,5.852472,7.338724
8388608,8MB,65536,64KB,2,11.668734,3.680748
8388608,8MB,65536,64KB,3,4.345368,9.884013
8388608,8MB,65536,64KB,4,4.219930,10.177815
8388608,8MB,65536,64KB,5,4.609137,9.318377
8388608,8MB,65536,64KB,6,5.726750,7.499833
8388608,8MB,65536,64KB,7,11.629417,3.693192
8388608,8MB,65536,64KB,8,5.491327,7.821365
8388608,8MB,65536,64KB,9,10.886351,3.945277
8388608,8MB,65536,64KB,10,4.787732,8.970777
8388608,8MB,131072,128KB,1,8.960764,4.793082
8388608,8MB,131072,128KB,2,20.144715,2.132057
8388608,8MB,131072,128KB,3,1.659281,25.884513
8388608,8MB,131072,128KB,4,16.421329,2.615481
8388608,8MB,131072,128KB,5,6.322821,6.792802
8388608,8MB,131072,128KB,6,1.547271,27.758330
8388608,8MB,131072,128KB,7,1.664953,25.796329
8388608,8MB,131072,128KB,8,1.659416,25.882398
8388608,8MB,131072,128KB,9,1.607553,26.717416
8388608,8MB,131072,128KB,10,12.495465,3.437221
8388608,8MB,196608,192KB,1,5.707356,7.525319
8388608,8MB,196608,192KB,2,13.253049,3.240739
8388608,8MB,196608,192KB,3,1.477590,29.067378
8388608,8MB,196608,192KB,4,3.077855,13.954419
8388608,8MB,196608,192KB,5,7.941405,5.408321
8388608,8MB,196608,192KB,6,3.733998,11.502328
8388608,8MB,196608,192KB,7,2.102869,20.424325
8388608,8MB,196608,192KB,8,1.609745,26.681041
8388608,8MB,196608,192KB,9,1.737524,24.718891
8388608,8MB,196608,192KB,10,4.953771,8.670097
8388608,8MB,262144,256KB,1,5.615518,7.648391
8388608,8MB,262144,256KB,2,4.318098,9.946432
8388608,8MB,262144,256KB,3,1.726275,24.879969
8388608,8MB,262144,256KB,4,1.737772,24.715369
8388608,8MB,262144,256KB,5,1.675180,25.638836
8388608,8MB,262144,256KB,6,1.650146,26.027810
8388608,8MB,262144,256KB,7,2.687417,15.981765
8388608,8MB,262144,256KB,8,1.720375,24.965299
8388608,8MB,262144,256KB,9,2.081758,20.631449
8388608,8MB,262144,256KB,10,10.924556,3.931480
8388608,8MB,524288,512KB,1,2.801534,15.330771
8388608,8MB,524288,512KB,2,1.161871,36.965941
8388608,8MB,524288,512KB,3,1.711460,25.095336
8388608,8MB,524288,512KB,4,1.421627,30.211641
8388608,8MB,524288,512KB,5,1.448826,29.644470
8388608,8MB,524288,512KB,6,1.423836,30.164753
8388608,8MB,524288,512KB,7,1.498074,28.669937
8388608,8MB,524288,512KB,8,1.459207,29.433561
8388608,8MB,524288,512KB,9,1.505149,28.535171
8388608,8MB,524288,512KB,10,1.443073,29.762652
8388608,8MB,1048576,1MB,1,2.427309,17.694360
8388608,8MB,1048576,1MB,2,1.291751,33.249176
8388608,8MB,1048576,1MB,3,1.601904,26.811633
8388608,8MB,1048576,1MB,4,1.643963,26.125690
8388608,8MB,1048576,1MB,5,1.430074,30.033178
8388608,8MB,1048576,1MB,6,1.749872,24.544471
8388608,8MB,1048576,1MB,7,1.503837,28.560066
8388608,8MB,1048576,1MB,8,1.919496,22.375491
8388608,8MB,1048576,1MB,9,1.674725,25.645812
8388608,8MB,1048576,1MB,10,1.574008,27.286818
8388608,8MB,4194304,4MB,1,2.214246,19.396971
8388608,8MB,4194304,4MB,2,1.798738,23.877677
8388608,8MB,4194304,4MB,3,1.749880,24.544358
8388608,8MB,4194304,4MB,4,1.532968,28.017326
8388608,8MB,4194304,4MB,5,1.484348,28.935047
8388608,8MB,4194304,4MB,6,1.610156,26.674231
8388608,8MB,4194304,4MB,7,1.533951,27.999379
8388608,8MB,4194304,4MB,8,1.624530,26.438213
8388608,8MB,4194304,4MB,9,1.663075,25.825456
8388608,8MB,4194304,4MB,10,1.723529,24.919610
16777216,16MB,65536,64KB,1,8.611564,4.987442
16777216,16MB,65536,64KB,2,4.535132,9.470436
16777216,16MB,65536,64KB,3,10.294507,4.172096
16777216,16MB,65536,64KB,4,4.443426,9.665891
16777216,16MB,65536,64KB,5,4.100302,10.474759
16777216,16MB,65536,64KB,6,4.562332,9.413973
16777216,16MB,65536,64KB,7,5.315705,8.079770
16777216,16MB,65536,64KB,8,5.673051,7.570825
16777216,16MB,65536,64KB,9,10.980136,3.911579
16777216,16MB,65536,64KB,10,3.135472,13.697991
16777216,16MB,131072,128KB,1,4.970917,8.640190
16777216,16MB,131072,128KB,2,7.089524,6.058189
16777216,16MB,131072,128KB,3,1.025008,41.901785
16777216,16MB,131072,128KB,4,1.256003,34.195526
16777216,16MB,131072,128KB,5,1.047968,40.983779
16777216,16MB,131072,128KB,6,1.128179,38.069903
16777216,16MB,131072,128KB,7,1.051575,40.843197
16777216,16MB,131072,128KB,8,1.102942,38.941018
16777216,16MB,131072,128KB,9,1.045194,41.092529
16777216,16MB,131072,128KB,10,1.562184,27.493347
16777216,16MB,196608,192KB,1,4.789169,8.968085
16777216,16MB,196608,192KB,2,29.992939,1.431993
16777216,16MB,196608,192KB,3,2.693356,15.946526
16777216,16MB,196608,192KB,4,1.371516,31.315467
16777216,16MB,196608,192KB,5,1.046465,41.042616
16777216,16MB,196608,192KB,6,1.024831,41.909038
16777216,16MB,196608,192KB,7,1.030771,41.667542
16777216,16MB,196608,192KB,8,1.070971,40.103481
16777216,16MB,196608,192KB,9,5.818191,7.381963
16777216,16MB,196608,192KB,10,1.042690,41.191216
16777216,16MB,262144,256KB,1,3.661746,11.729289
16777216,16MB,262144,256KB,2,3.204615,13.402444
16777216,16MB,262144,256KB,3,0.999960,42.951412
16777216,16MB,262144,256KB,4,1.102001,38.974260
16777216,16MB,262144,256KB,5,2.130804,20.156561
16777216,16MB,262144,256KB,6,1.042423,41.201774
16777216,16MB,262144,256KB,7,14.715647,2.918640
16777216,16MB,262144,256KB,8,2.504088,17.151823
16777216,16MB,262144,256KB,9,2.695371,15.934606
16777216,16MB,262144,256KB,10,1.004396,42.761688
16777216,16MB,524288,512KB,1,3.342738,12.848652
16777216,16MB,524288,512KB,2,3.539097,12.135773
16777216,16MB,524288,512KB,3,1.072560,40.044079
16777216,16MB,524288,512KB,4,1.043360,41.164765
16777216,16MB,524288,512KB,5,1.044716,41.111342
16777216,16MB,524288,512KB,6,1.011240,42.472263
16777216,16MB,524288,512KB,7,1.031851,41.623906
16777216,16MB,524288,512KB,8,1.017662,42.204261
16777216,16MB,524288,512KB,9,1.035521,41.476370
16777216,16MB,524288,512KB,10,1.263808,33.984342
16777216,16MB,1048576,1MB,1,2.193741,19.578279
