part_size,part_size_formatted,chunk_size,chunk_size_formatted,run,seconds,gbps
8192,8KB,8192,8KB,1,4.019908,10.684242
8192,8KB,8192,8KB,2,3.866185,11.109057
8192,8KB,8192,8KB,3,4.161507,10.320703
8192,8KB,8192,8KB,4,3.616335,11.876576
8192,8KB,8192,8KB,5,4.026885,10.665733
8192,8KB,8192,8KB,6,3.768479,11.397085
8192,8KB,8192,8KB,7,3.625567,11.846333
8192,8KB,8192,8KB,8,3.598784,11.934495
8192,8KB,8192,8KB,9,3.742868,11.475070
8192,8KB,8192,8KB,10,3.560878,12.061540
16384,16KB,8192,8KB,1,4.070441,10.551601
16384,16KB,8192,8KB,2,3.863588,11.116525
16384,16KB,8192,8KB,3,4.167660,10.305464
16384,16KB,8192,8KB,4,3.612604,11.888841
16384,16KB,8192,8KB,5,4.038861,10.634105
16384,16KB,8192,8KB,6,3.777130,11.370981
16384,16KB,8192,8KB,7,3.623802,11.852103
16384,16KB,8192,8KB,8,3.588718,11.967972
16384,16KB,8192,8KB,9,3.747539,11.460769
16384,16KB,8192,8KB,10,3.581122,11.993355
16384,16KB,16384,16KB,1,3.211886,13.372103
16384,16KB,16384,16KB,2,2.468887,17.396370
16384,16KB,16384,16KB,3,2.846004,15.091218
16384,16KB,16384,16KB,4,2.236048,19.207852
16384,16KB,16384,16KB,5,2.179502,19.706183
16384,16KB,16384,16KB,6,2.182266,19.681224
16384,16KB,16384,16KB,7,2.191901,19.594714
16384,16KB,16384,16KB,8,2.683705,16.003875
16384,16KB,16384,16KB,9,2.233437,19.230307
16384,16KB,16384,16KB,10,2.186048,19.647177
32768,32KB,8192,8KB,1,4.028814,10.660625
32768,32KB,8192,8KB,2,3.872597,11.090663
32768,32KB,8192,8KB,3,4.170070,10.299509
32768,32KB,8192,8KB,4,3.618594,11.869159
32768,32KB,8192,8KB,5,4.035885,10.641946
32768,32KB,8192,8KB,6,3.777328,11.370385
32768,32KB,8192,8KB,7,3.630506,11.830217
32768,32KB,8192,8KB,8,3.600188,11.929843
32768,32KB,8192,8KB,9,3.748394,11.458153
32768,32KB,8192,8KB,10,3.557523,12.072913
32768,32KB,16384,16KB,1,3.248398,13.221802
32768,32KB,16384,16KB,2,2.479598,17.321224
32768,32KB,16384,16KB,3,2.849288,15.073825
32768,32KB,16384,16KB,4,2.235534,19.212266
32768,32KB,16384,16KB,5,2.159014,19.893185
32768,32KB,16384,16KB,6,2.165051,19.837715
32768,32KB,16384,16KB,7,2.176509,19.733286
